Category: All categories

Week,faiz oranları: (Turkey),tüketici kredisi: (Turkey)
2016-01-03,12,2
2016-01-10,10,1
2016-01-17,10,2
2016-01-24,12,2
2016-01-31,9,1
2016-02-07,12,1
2016-02-14,12,1
2016-02-21,12,2
2016-02-28,12,1
2016-03-06,13,2
2016-03-13,11,1
2016-03-20,12,2
2016-03-27,11,2
2016-04-03,13,2
2016-04-10,13,1
2016-04-17,24,2
2016-04-24,22,1
2016-05-01,18,2
2016-05-08,15,2
2016-05-15,12,1
2016-05-22,15,2
2016-05-29,15,2
2016-06-05,11,2
2016-06-12,11,1
2016-06-19,19,1
2016-06-26,17,1
2016-07-03,11,1
2016-07-10,15,2
2016-07-17,15,1
2016-07-24,20,1
2016-07-31,18,1
2016-08-07,54,4
2016-08-14,34,4
2016-08-21,27,2
2016-08-28,23,3
2016-09-04,19,2
2016-09-11,12,2
2016-09-18,22,5
2016-09-25,16,4
2016-10-02,18,4
2016-10-09,17,3
2016-10-16,12,3
2016-10-23,14,2
2016-10-30,23,2
2016-11-06,21,2
2016-11-13,14,2
2016-11-20,15,2
2016-11-27,14,2
2016-12-04,13,2
2016-12-11,15,2
2016-12-18,12,2
2016-12-25,10,1
2017-01-01,11,1
2017-01-08,13,1
2017-01-15,12,2
2017-01-22,13,1
2017-01-29,16,2
2017-02-05,15,2
2017-02-12,15,1
2017-02-19,13,2
2017-02-26,11,1
2017-03-05,9,2
2017-03-12,12,1
2017-03-19,10,2
2017-03-26,10,2
2017-04-02,10,1
2017-04-09,11,1
2017-04-16,8,1
2017-04-23,12,2
2017-04-30,11,1
2017-05-07,10,2
2017-05-14,9,1
2017-05-21,11,2
2017-05-28,10,1
2017-06-04,10,1
2017-06-11,9,2
2017-06-18,9,2
2017-06-25,10,1
2017-07-02,12,1
2017-07-09,10,1
2017-07-16,13,1
2017-07-23,11,2
2017-07-30,13,2
2017-08-06,13,1
2017-08-13,12,1
2017-08-20,11,2
2017-08-27,7,1
2017-09-03,10,2
2017-09-10,12,2
2017-09-17,11,1
2017-09-24,11,2
2017-10-01,12,1
2017-10-08,11,1
2017-10-15,11,1
2017-10-22,12,1
2017-10-29,10,1
2017-11-05,13,2
2017-11-12,11,2
2017-11-19,14,1
2017-11-26,10,2
2017-12-03,12,1
2017-12-10,13,1
2017-12-17,13,2
2017-12-24,11,1
2017-12-31,15,1
2018-01-07,13,1
2018-01-14,14,1
2018-01-21,12,2
2018-01-28,13,1
2018-02-04,14,1
2018-02-11,12,2
2018-02-18,15,1
2018-02-25,14,1
2018-03-04,14,2
2018-03-11,14,1
2018-03-18,14,2
2018-03-25,15,1
2018-04-01,13,2
2018-04-08,17,1
2018-04-15,17,1
2018-04-22,16,2
2018-04-29,13,2
2018-05-06,39,2
2018-05-13,28,2
2018-05-20,32,2
2018-05-27,21,2
2018-06-03,24,2
2018-06-10,22,1
2018-06-17,18,2
2018-06-24,27,2
2018-07-01,36,3
2018-07-08,31,3
2018-07-15,34,2
2018-07-22,33,2
2018-07-29,31,2
2018-08-05,44,2
2018-08-12,48,2
2018-08-19,25,1
2018-08-26,66,3
2018-09-02,57,3
2018-09-09,90,5
2018-09-16,64,2
2018-09-23,50,1
2018-09-30,45,2
2018-10-07,46,3
2018-10-14,46,2
2018-10-21,34,2
2018-10-28,38,1
2018-11-04,42,2
2018-11-11,40,2
2018-11-18,44,2
2018-11-25,36,2
2018-12-02,33,2
2018-12-09,42,2
2018-12-16,48,2
2018-12-23,29,1
2018-12-30,30,2
2019-01-06,35,2
2019-01-13,33,2
2019-01-20,33,3
2019-01-27,31,3
2019-02-03,39,3
2019-02-10,34,4
2019-02-17,47,4
2019-02-24,61,7
2019-03-03,51,6
2019-03-10,40,5
2019-03-17,40,4
2019-03-24,34,3
2019-03-31,23,2
2019-04-07,25,2
2019-04-14,27,2
2019-04-21,27,1
2019-04-28,30,2
2019-05-05,28,2
2019-05-12,29,2
2019-05-19,22,2
2019-05-26,19,1
2019-06-02,19,1
2019-06-09,23,2
2019-06-16,26,2
2019-06-23,24,3
2019-06-30,32,2
2019-07-07,30,3
2019-07-14,28,3
2019-07-21,71,4
2019-07-28,100,8
2019-08-04,44,6
2019-08-11,29,3
2019-08-18,38,4
2019-08-25,31,3
2019-09-01,37,4
2019-09-08,61,6
2019-09-15,57,7
2019-09-22,45,5
2019-09-29,44,5
2019-10-06,35,4
2019-10-13,26,4
2019-10-20,28,5
2019-10-27,26,5
2019-11-03,31,5
2019-11-10,30,4
2019-11-17,28,4
2019-11-24,23,3
2019-12-01,25,3
2019-12-08,29,4
2019-12-15,31,4
2019-12-22,30,4
2019-12-29,33,4
